,Scaled sound pressure level
0,115.801
1,119.541
2,125.268
3,135.191
4,121.996
5,129.567
6,115.679
7,127.591
8,122.089
9,137.026
10,118.743
11,120.229
12,115.691
13,125.966
14,124.166
15,120.264
16,124.364
17,130.026
18,117.137
19,136.941
20,120.015
21,119.287
22,114.258
23,125.319
24,129.552
25,129.301
26,121.059
27,120.654
28,121.933
29,132.252
30,114.67
31,129.285
32,126.616
33,122.397
34,120.527
35,133.276
36,129.27
37,134.0
38,127.008
39,122.229
40,130.908
41,117.154
42,124.843
43,121.234
44,117.151
45,125.603
46,127.404
47,131.807
48,113.144
49,124.154
50,133.924
51,126.78
52,121.397
53,120.247
54,130.595
55,131.725
56,117.11
57,128.939
58,118.145
59,125.261
60,116.792
61,111.029
62,127.928
63,125.401
64,123.445
65,122.797
66,122.17
67,126.677
68,121.514
69,125.045
70,121.256
71,135.324
72,128.763
73,117.809
74,131.78
75,128.484
76,140.158
77,127.676
78,123.865
79,117.432
80,116.366
81,125.094
82,127.315
83,113.076
84,112.589
85,130.777
86,131.518
87,122.893
88,130.073
89,110.491
90,124.395
91,128.723
92,115.466
93,128.246
94,131.808
95,120.076
96,132.202
97,122.816
98,113.665
99,128.878
100,135.803
101,124.121
102,122.675
103,127.398
104,120.484
105,116.559
106,117.911
107,133.04
108,126.944
109,125.527
110,113.086
111,111.35
112,118.343
113,123.416
114,119.737
115,132.355
116,136.883
117,129.006
118,132.301
119,128.179
120,108.721
121,123.178
122,136.414
123,119.174
124,130.893
125,113.858
126,129.465
127,125.054
128,123.126
129,115.372
130,128.971
131,119.513
132,138.523
133,131.971
134,121.146
135,115.215
136,109.951
137,129.395
138,124.986
139,115.812
140,122.232
141,115.846
142,131.186
143,124.625
144,121.93
145,134.625
146,114.927
147,121.225
148,138.758
149,120.963
150,136.103
151,126.343
152,133.728
153,126.189
154,128.56
155,121.824
156,128.677
157,114.309
158,120.319
159,134.987
160,125.107
161,126.645
162,130.722
163,129.343
164,124.254
165,128.401
166,117.785
167,128.492
168,130.817
169,111.459
170,134.928
171,124.756
172,131.817
173,123.689
174,118.267
175,117.514
176,129.491
177,113.958
178,110.317
179,132.184
180,125.157
181,129.354
182,122.539
183,129.395
184,130.114
185,123.069
186,126.43
187,133.042
188,130.173
189,123.635
190,131.362
191,133.04
192,130.567
193,135.866
194,128.576
195,123.453
196,128.216
197,121.762
198,123.118
199,116.677
200,127.076
201,106.582
202,130.723
203,129.953
204,121.587
205,110.652
206,130.148
207,120.397
208,129.673
209,107.284
210,128.99
211,134.034
212,126.835
213,118.416
214,118.108
215,130.469
216,123.514
217,124.42
218,122.606
219,130.4
220,131.708
221,130.307
222,112.065
223,120.509
224,128.454
225,120.154
226,134.556
227,120.835
228,124.394
229,112.639
230,126.536
231,130.965
232,133.023
233,127.224
234,125.398
235,119.67
236,115.89
237,136.583
238,125.872
239,132.039
240,125.465
241,126.16
242,125.343
243,108.265
244,118.618
245,124.426
246,118.904
247,125.025
248,129.308
249,122.439
250,125.524
251,134.853
252,114.634
253,125.683
254,115.857
255,134.563
256,129.053
257,124.439
258,120.573
259,104.13
260,121.474
261,127.461
262,112.848
263,124.336
264,122.428
265,125.941
266,122.394
267,122.365
268,125.376
269,124.127
270,130.898
271,129.579
272,134.568
273,128.559
274,127.92
275,131.605
276,128.831
277,126.746
278,118.091
279,125.715
280,128.144
281,125.727
282,121.315
283,135.07
284,115.969
285,129.776
286,133.01
287,125.116
288,125.22
289,134.533
290,119.137
291,132.43
292,122.292
293,124.318
294,126.743
295,124.838
296,132.304
297,122.211
298,124.717
299,129.675
300,129.281
301,129.744
302,125.427
303,112.265
304,131.364
305,125.048
306,118.564
307,126.508
308,129.5
309,130.206
310,134.236
311,125.203
312,108.689
313,133.376
314,125.348
315,107.405
316,119.319
317,123.305
318,123.564
319,132.118
320,122.101
321,116.859
322,119.159
323,129.991
324,128.774
325,130.0
326,131.955
327,135.308
328,114.709
329,124.45
330,122.375
331,127.246
332,114.861
333,125.856
334,122.956
335,138.123
336,130.964
337,126.514
338,119.115
339,131.615
340,128.338
341,124.644
342,129.949
343,128.306
344,127.394
345,128.252
346,131.111
347,123.127
348,130.123
349,127.443
350,130.311
351,120.798
352,129.864
353,125.539
354,127.696
355,108.034
356,130.477
357,126.632
358,118.595
359,119.19
360,129.002
361,115.461
362,120.189
363,133.13
364,131.92
365,104.204
366,133.79
367,137.813
368,117.976
369,125.625
370,124.049
371,127.91
372,110.868
373,124.904
374,124.207
375,128.296
376,133.846
377,130.503
378,113.08
379,115.311
380,127.095
381,125.01
382,116.956
383,123.74
384,121.528
385,121.235
386,128.312
387,106.604
388,113.045
389,126.299
390,136.023
391,117.284
392,131.036
393,133.261
394,133.436
395,126.116
396,135.38
397,125.997
398,127.011
399,117.309
400,125.998
401,118.05
402,127.753
403,126.17
404,113.229
405,126.661
406,124.403
407,128.927
408,125.992
409,128.707
410,127.375
411,127.365
412,113.733
413,117.119
414,126.758
415,123.623
416,104.5
417,128.36
418,113.034
419,125.974
420,126.599
421,119.294
422,133.201
423,122.766
424,126.54
425,114.258
426,116.468
427,135.329
428,127.548
429,117.195
430,120.209
431,132.658
432,125.201
433,125.63
434,112.169
435,119.343
436,117.253
437,130.67
438,127.179
439,111.076
440,127.801
441,132.889
442,134.976
443,130.961
444,121.775
445,123.303
446,126.267
447,116.417
448,118.41
449,128.633
450,116.476
