,Scaled sound pressure level
0,126.886
1,130.795
2,128.082
3,123.354
4,127.73
5,127.947
6,125.201
7,125.717
8,122.341
9,129.937
10,120.136
11,126.356
12,127.625
13,129.144
14,128.241
15,133.79
16,130.955
17,122.754
18,122.771
19,119.099
20,128.643
21,117.134
22,124.108
23,132.358
24,130.156
25,120.078
26,117.789
27,124.685
28,119.806
29,128.139
30,127.71
31,131.471
32,129.235
33,108.407
34,129.134
35,114.418
36,121.154
37,120.851
38,113.004
39,130.589
40,123.417
41,119.91
42,121.318
43,130.748
44,124.101
45,119.253
46,131.491
47,130.688
48,115.309
49,128.444
50,115.645
51,123.227
52,131.656
53,124.273
54,124.525
55,125.571
56,125.499
57,116.694
58,136.384
59,136.166
60,128.956
61,123.274
62,132.043
63,118.365
64,128.435
65,130.845
66,115.144
67,113.525
68,112.541
69,119.224
70,131.234
71,117.093
72,122.782
73,116.074
74,122.044
75,110.78
76,124.881
77,119.111
78,125.627
79,112.945
80,124.356
81,112.768
82,127.781
83,125.229
84,126.59
85,135.953
86,114.729
87,123.445
88,123.255
89,109.718
90,118.941
91,129.468
92,125.817
93,133.553
94,127.251
95,131.236
96,110.447
97,129.267
98,109.619
99,127.686
100,130.033
101,120.055
102,116.02
103,130.43
104,127.307
105,126.291
106,129.099
107,131.978
108,121.284
109,128.175
110,127.637
111,117.287
112,118.018
113,131.467
114,115.085
115,130.781
116,131.515
117,128.562
118,135.459
119,123.695
120,122.435
121,132.897
122,128.595
123,129.117
124,127.7
125,126.838
126,135.368
127,130.715
128,139.226
129,118.689
130,130.049
131,130.086
132,124.304
133,115.91
134,132.134
135,113.315
136,123.965
137,117.724
138,122.527
139,122.371
140,126.79
141,132.793
142,123.583
143,128.334
144,139.428
145,115.321
146,122.471
147,123.41
148,127.893
149,133.198
150,120.716
151,114.404
152,120.92
153,123.217
154,128.698
155,126.066
156,127.614
157,123.839
158,128.427
159,128.335
160,122.966
161,132.304
162,120.534
163,126.345
164,128.74
165,129.148
166,119.777
167,116.849
168,127.834
169,125.127
170,110.905
171,109.254
172,120.534
173,108.684
174,129.777
175,124.839
176,124.647
177,132.05
178,118.106
179,108.649
180,130.34
181,130.332
182,131.313
183,125.347
184,110.307
185,112.16
186,112.803
187,133.653
188,128.169
189,126.021
190,125.963
191,129.848
192,116.92
193,121.485
194,116.017
195,121.728
196,128.545
197,122.384
198,119.621
199,125.044
200,120.766
201,132.271
202,116.723
203,127.864
204,123.543
205,115.137
206,121.313
207,120.505
208,128.705
209,122.218
210,126.986
211,125.647
212,136.163
213,115.444
214,127.591
215,110.124
216,127.356
217,135.227
218,126.54
219,129.095
220,129.575
221,127.564
222,127.229
223,116.56
224,121.851
225,128.295
226,125.452
227,117.996
228,120.324
229,133.223
230,113.298
231,128.907
232,126.537
233,123.705
234,123.263
235,133.758
236,124.188
237,121.783
238,124.276
239,131.074
240,126.565
241,126.001
242,136.678
243,133.768
